City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,waitangi,-43.9535,-176.5597,62.82,91,97,5.01,NZ,2024-02-27 17:04:59
1,merizo village,13.2658,144.6691,82.13,79,55,15.99,GU,2024-02-27 17:05:00
2,blackmans bay,-43.0167,147.3167,69.73,60,100,1.01,AU,2024-02-27 17:05:01
3,qaqortoq,60.7167,-46.0333,24.73,96,100,5.95,GL,2024-02-27 17:05:02
4,zaozersk,69.4005,32.4476,21.9,88,84,14.9,RU,2024-02-27 17:05:03
5,edinburgh of the seven seas,-37.0676,-12.3116,59.59,63,79,11.1,SH,2024-02-27 17:05:04
6,grytviken,-54.2811,-36.5092,29.95,68,8,8.34,GS,2024-02-27 17:05:04
7,sabang,5.8933,95.3214,83.14,74,98,18.97,ID,2024-02-27 17:05:05
8,enewetak,11.3474,162.3373,80.37,81,91,14.0,MH,2024-02-27 17:05:06
9,bali,-8.5,115.0,77.97,87,84,3.31,ID,2024-02-27 17:05:07
10,port-aux-francais,-49.35,70.2167,46.78,96,98,24.99,TF,2024-02-27 17:05:08
11,stanley,54.868,-1.6985,39.52,86,0,2.3,GB,2024-02-27 17:05:09
12,la'ie,21.6477,-157.9253,82.36,63,5,10.0,US,2024-02-27 17:05:10
13,yellowknife,62.456,-114.3525,-10.59,83,20,9.22,CA,2024-02-27 17:03:15
14,puerto lempira,15.2667,-83.7667,81.3,71,54,11.61,HN,2024-02-27 17:05:11
15,atafu village,-8.5421,-172.5159,84.36,77,18,16.35,TK,2024-02-27 17:05:12
16,fortuna,40.5982,-124.1573,54.99,59,0,17.27,US,2024-02-27 17:05:13
17,lyubim,58.3625,40.6843,25.72,89,99,9.37,RU,2024-02-27 17:05:13
18,puerto aysen,-45.4,-72.7,55.81,98,94,4.88,CL,2024-02-27 17:05:14
19,papatowai,-46.5619,169.4708,53.58,86,98,4.21,NZ,2024-02-27 17:05:14
20,bredasdorp,-34.5322,20.0403,63.14,74,2,14.88,ZA,2024-02-27 17:05:15
21,bethel,41.3712,-73.414,51.87,74,0,10.36,US,2024-02-27 17:05:16
22,callao,-12.0667,-77.15,77.29,69,0,19.57,PE,2024-02-27 17:05:16
23,tangalle,6.024,80.7911,76.35,83,100,10.51,LK,2024-02-27 17:05:18
24,puerto colombia,10.9878,-74.9547,82.49,81,2,24.49,CO,2024-02-27 17:05:18
25,oamaru,-45.0784,170.9801,56.37,91,98,10.89,NZ,2024-02-27 17:03:58
26,tazacorte,28.629,-17.9293,65.37,64,100,17.27,ES,2024-02-27 17:05:20
27,iqaluit,63.7506,-68.5145,-18.31,68,75,8.05,CA,2024-02-27 17:05:20
28,ribeira grande,38.5167,-28.7,61.77,71,27,11.99,PT,2024-02-27 17:05:21
29,novaya ladoga,60.1025,32.3019,32.45,99,100,1.28,RU,2024-02-27 17:05:21
30,adamstown,-25.066,-130.1015,79.34,74,88,7.31,PN,2024-02-27 17:05:22
31,talnakh,69.4865,88.3972,11.21,94,100,13.13,RU,2024-02-27 17:05:23
32,geraldton,-28.7667,114.6,61.21,82,19,11.5,AU,2024-02-27 17:05:23
33,puerto natales,-51.7236,-72.4875,54.95,74,100,10.56,CL,2024-02-27 17:01:47
34,ushuaia,-54.8,-68.3,53.26,82,75,4.61,AR,2024-02-27 17:05:24
35,vila franca do campo,37.7167,-25.4333,55.81,83,23,6.04,PT,2024-02-27 17:05:25
36,villa gesell,-37.2639,-56.973,73.06,82,50,7.78,AR,2024-02-27 17:03:21
37,puerto ayora,-0.7393,-90.3518,85.96,83,85,14.0,EC,2024-02-27 17:05:27
38,maragogi,-9.0122,-35.2225,81.34,75,84,8.01,BR,2024-02-27 17:03:57
39,keflavik,64.0049,-22.5624,32.43,80,75,13.8,IS,2024-02-27 17:05:29
40,vadso,70.0744,29.7487,30.36,74,75,13.8,NO,2024-02-27 17:05:29
41,dudinka,69.4058,86.1778,11.68,92,99,21.0,RU,2024-02-27 17:05:30
42,aleksandrovsk,59.158,57.5624,15.08,95,87,7.31,RU,2024-02-27 17:05:31
43,hadibu,12.65,54.0333,76.89,72,74,6.13,YE,2024-02-27 17:05:32
44,seven pagodas,12.6264,80.1722,79.09,72,62,6.29,IN,2024-02-27 17:05:33
45,paragominas,-2.9667,-47.4833,73.26,97,96,2.01,BR,2024-02-27 17:05:00
46,karagay,58.2667,54.9368,16.86,90,85,8.97,RU,2024-02-27 17:05:34
47,college,64.8569,-147.8028,5.79,51,75,3.44,US,2024-02-27 17:05:35
48,west island,-12.1568,96.8225,83.53,72,93,17.38,CC,2024-02-27 17:05:35
49,glace bay,46.1969,-59.957,36.79,78,90,8.01,CA,2024-02-27 17:05:36
50,hermanus,-34.4187,19.2345,65.8,72,0,17.54,ZA,2024-02-27 17:05:37
51,hithadhoo,-0.6,73.0833,81.12,78,100,4.5,MV,2024-02-27 17:05:37
52,petropavlovsk-kamchatsky,53.0452,158.6483,9.19,72,40,11.18,RU,2024-02-27 17:05:38
53,constantia,44.1833,28.65,43.7,85,54,6.96,RO,2024-02-27 17:05:39
54,porbandar,21.6422,69.6093,73.0,42,0,9.44,IN,2024-02-27 17:05:39
55,batu pahat,1.8548,102.9325,75.69,90,100,5.17,MY,2024-02-27 17:05:40
56,spring creek,40.7266,-115.5859,32.81,54,95,3.0,US,2024-02-27 17:05:40
57,antsiranana,-12.2787,49.2917,76.46,92,91,2.73,MG,2024-02-27 17:05:41
58,namtsy,62.7161,129.6658,-35.79,100,100,1.14,RU,2024-02-27 17:05:41
59,san matias,-16.3667,-58.4,84.99,61,54,5.66,BO,2024-02-27 17:05:42
60,bilibino,68.0546,166.4372,-20.78,97,100,2.26,RU,2024-02-27 17:05:42
61,shatsk,54.0258,41.7119,18.66,86,78,10.33,RU,2024-02-27 17:05:43
62,malpe,13.35,74.7167,78.1,86,97,3.6,IN,2024-02-27 17:05:43
63,wanning,18.8003,110.3967,71.29,91,100,4.5,CN,2024-02-27 17:05:44
64,pontes e lacerda,-15.2261,-59.3353,80.71,73,54,2.51,BR,2024-02-27 17:05:45
65,divino das laranjeiras,-18.7778,-41.4797,75.2,79,79,3.06,BR,2024-02-27 17:05:45
66,chonchi,-42.6128,-73.8092,63.61,97,81,2.51,CL,2024-02-27 17:05:46
67,macusani,-14.0833,-70.4333,42.78,80,95,6.78,PE,2024-02-27 17:05:46
68,kriva palanka,42.2019,22.3319,46.8,91,100,3.67,MK,2024-02-27 17:05:47
69,rongelap,11.1635,166.8941,80.29,84,57,18.79,MH,2024-02-27 17:05:47
70,invercargill,-46.4,168.35,54.01,85,100,4.0,NZ,2024-02-27 17:05:49
71,bamboo flat,11.7,92.7167,77.09,94,15,1.14,IN,2024-02-27 17:05:49
72,kayangel,8.0823,134.7173,81.0,83,100,24.52,PW,2024-02-27 17:05:50
73,pangai,-19.8,-174.35,86.11,79,40,6.91,TO,2024-02-27 17:05:50
74,anadyr,64.75,177.4833,-12.5,75,72,25.99,RU,2024-02-27 17:05:51
75,sona,45.4388,10.8255,53.49,93,75,9.22,IT,2024-02-27 17:05:51
76,hobyo,5.3505,48.5268,78.67,74,96,14.7,SO,2024-02-27 17:05:52
77,tiksi,71.6872,128.8694,-4.18,85,81,36.1,RU,2024-02-27 17:05:52
78,altamira,-3.2033,-52.2064,76.98,86,69,2.28,BR,2024-02-27 17:05:53
79,albany,42.6001,-73.9662,57.43,59,61,3.0,US,2024-02-27 17:02:58
80,gadzhiyevo,69.2551,33.3362,20.71,90,77,14.18,RU,2024-02-27 17:05:54
81,vorgashor,67.5833,63.95,24.51,96,100,11.95,RU,2024-02-27 17:05:55
82,belmonte,-15.8631,-38.8828,78.22,88,53,5.21,BR,2024-02-27 17:05:22
83,afaahiti,-17.75,-149.2833,84.06,77,38,7.72,PF,2024-02-27 17:05:56
84,bossangoa,6.4926,17.4552,86.77,26,40,3.38,CF,2024-02-27 17:05:56
85,san justo,-30.7891,-60.5919,75.94,65,99,7.72,AR,2024-02-27 17:05:57
86,westport,41.1415,-73.3579,52.41,82,0,3.0,US,2024-02-27 17:04:27
87,whitehorse,60.7161,-135.0538,7.11,64,100,15.01,CA,2024-02-27 17:05:58
88,qarauyl,48.9451,79.255,5.94,94,96,4.25,KZ,2024-02-27 17:05:58
89,labrador city,52.9463,-66.9114,19.31,68,75,8.05,CA,2024-02-27 17:05:59
90,galliano,29.4422,-90.2992,73.4,78,100,16.11,US,2024-02-27 17:06:00
91,punta arenas,-53.15,-70.9167,55.51,82,75,12.66,CL,2024-02-27 17:05:51
92,sancti spiritus,21.9297,-79.4425,79.27,54,21,9.55,CU,2024-02-27 17:06:01
93,al jawf,29.5,38.75,49.53,40,6,12.3,SA,2024-02-27 17:06:01
94,weno,7.4515,151.8468,85.95,79,75,12.66,FM,2024-02-27 17:06:03
95,aitape,-3.1374,142.3475,81.12,80,93,2.01,PG,2024-02-27 17:06:03
96,joshimath,30.5667,79.5667,37.09,76,65,8.03,IN,2024-02-27 17:06:04
97,port mathurin,-19.6833,63.4167,77.9,77,18,11.74,MU,2024-02-27 17:06:05
98,longyearbyen,78.2186,15.6401,30.04,80,75,16.11,SJ,2024-02-27 17:03:20
99,baihar,22.1,80.55,62.83,85,9,2.62,IN,2024-02-27 17:06:06
100,hammerfest,70.6634,23.6821,30.65,64,0,8.05,NO,2024-02-27 17:06:07
101,luau,-10.7073,22.2247,64.87,97,79,1.28,AO,2024-02-27 17:06:07
102,horta,38.5333,-28.6333,61.02,71,35,11.99,PT,2024-02-27 17:04:51
103,nemuro,43.3236,145.575,23.11,75,100,32.19,JP,2024-02-27 17:06:09
104,toamasina,-18.1667,49.3833,75.2,94,75,2.3,MG,2024-02-27 17:06:10
105,borogontsy,62.6683,131.1683,-37.07,100,100,2.84,RU,2024-02-27 17:06:10
106,lebu,-37.6167,-73.65,62.42,81,89,7.16,CL,2024-02-27 17:06:11
107,carnarvon,-24.8667,113.6333,75.94,76,0,18.03,AU,2024-02-27 17:06:11
108,lospalos,-8.5186,127.0025,75.92,89,99,7.99,TL,2024-02-27 17:06:12
109,iskateley,67.6803,53.1512,23.02,94,73,11.99,RU,2024-02-27 17:06:13
110,jiangzi,28.95,89.6333,17.38,69,17,7.34,CN,2024-02-27 17:06:14
111,zuyevka,58.405,51.1335,22.55,94,99,9.17,RU,2024-02-27 17:06:15
112,jamestown,42.097,-79.2353,54.99,87,97,5.01,US,2024-02-27 17:03:46
113,nelson bay,-32.7167,152.15,82.09,79,25,11.01,AU,2024-02-27 17:06:16
114,bodo,67.28,14.405,39.24,56,75,14.97,NO,2024-02-27 17:06:17
115,el granada,37.5027,-122.4694,66.47,49,0,16.11,US,2024-02-27 17:06:17
116,georgetown,5.4112,100.3354,82.33,70,20,6.91,MY,2024-02-27 17:02:47
117,usinsk,65.9939,57.5281,32.07,97,100,18.99,RU,2024-02-27 17:03:39
118,mirabad,30.4362,61.8383,43.39,65,94,7.0,AF,2024-02-27 17:06:19
119,kapa'a,22.0752,-159.319,80.58,67,75,18.41,US,2024-02-27 17:06:19
120,kachug,53.9606,105.8817,-5.03,99,100,2.89,RU,2024-02-27 17:06:20
121,san pedro pochutla,15.7333,-96.4667,85.71,52,0,8.46,MX,2024-02-27 17:06:21
122,quellon,-43.1167,-73.6167,56.55,97,91,8.9,CL,2024-02-27 17:06:21
123,vyaz'ma,55.2104,34.2951,21.31,94,82,8.19,RU,2024-02-27 17:06:22
124,humaita,-7.5061,-63.0208,73.81,96,100,2.44,BR,2024-02-27 17:06:23
125,atar,20.5169,-13.0499,73.56,21,0,10.94,MR,2024-02-27 17:02:42
126,udachny,66.4167,112.4,0.45,84,100,5.44,RU,2024-02-27 17:06:24
127,mezhdurechenskiy,59.6,65.9333,20.98,91,83,8.46,RU,2024-02-27 17:06:24
128,kristiansund,63.1115,7.732,44.65,52,75,5.75,NO,2024-02-27 17:06:25
129,olinda,-8.0089,-34.8553,78.53,94,40,2.3,BR,2024-02-27 17:04:27
130,garachico,28.7781,-17.7646,62.71,59,100,17.27,ES,2024-02-27 17:06:26
131,bata,1.8639,9.7658,81.16,90,5,7.09,GQ,2024-02-27 17:06:27
132,thinadhoo,0.5333,72.9333,80.73,81,100,10.94,MV,2024-02-27 17:06:27
133,nguruka,-5.1092,31.0419,63.95,96,92,3.74,TZ,2024-02-27 17:06:28
134,raduzhny,62.0961,77.475,25.99,96,100,12.91,RU,2024-02-27 17:06:28
135,guangming,45.3333,122.7833,11.59,85,28,6.87,CN,2024-02-27 17:06:29
136,tarime,-1.35,34.3667,63.55,92,100,1.92,TZ,2024-02-27 17:06:29
137,revda,56.801,59.9303,19.08,69,100,14.14,RU,2024-02-27 17:06:30
138,faya-largeau,17.9257,19.1043,75.31,14,54,13.09,TD,2024-02-27 17:02:37
139,arraial do cabo,-22.9661,-42.0278,76.96,88,20,10.36,BR,2024-02-27 17:06:31
140,kingston,17.997,-76.7936,85.15,71,20,19.57,JM,2024-02-27 17:06:32
141,avarua,-21.2078,-159.775,84.25,79,20,5.75,CK,2024-02-27 17:06:32
142,utrik,11.2278,169.8474,80.96,74,99,16.84,MH,2024-02-27 17:06:33
143,walvis bay,-22.9575,14.5053,63.55,88,2,6.53,,2024-02-27 17:06:34
144,papao,-17.75,-149.55,85.66,77,17,9.04,PF,2024-02-27 17:06:34
145,bonthe,7.5264,-12.505,79.21,91,30,6.38,SL,2024-02-27 17:06:35
146,tazovsky,67.4667,78.7,22.32,96,100,7.76,RU,2024-02-27 17:06:35
147,tura,25.5198,90.2201,59.61,41,99,2.19,IN,2024-02-27 17:06:36
148,ust-nera,64.5667,143.2,-29.61,99,59,4.18,RU,2024-02-27 17:06:37
149,bojnurd,37.4747,57.329,22.95,86,75,4.61,IR,2024-02-27 17:06:37
150,san benito abad,8.929,-75.0271,92.01,40,28,8.39,CO,2024-02-27 17:06:38
151,amursk,50.2261,136.8994,-4.77,99,96,4.29,RU,2024-02-27 17:06:38
152,turpan,42.9333,89.1667,31.82,34,21,3.38,CN,2024-02-27 17:06:39
153,trinidad,-14.8333,-64.9,85.98,74,40,5.75,BO,2024-02-27 17:06:39
154,port elizabeth,-33.918,25.5701,66.49,83,75,9.22,ZA,2024-02-27 17:04:21
155,fort mcmurray,56.7268,-111.381,4.59,47,0,5.75,CA,2024-02-27 17:04:39
156,three points,32.0767,-111.3137,72.79,30,40,8.05,US,2024-02-27 17:06:41
157,summerside,46.3959,-63.7876,37.47,91,89,12.86,CA,2024-02-27 17:06:42
